Station,Line,Status,AdmArea,District,ID,global_id
Домодедовская,Замоскворецкая линия,действует,Южный административный округ,район Орехово-Борисово Южное,21,58702003
Мневники,Большая кольцевая линия,строится,Северо-Западный административный округ,район Хорошёво-Мнёвники,242,58702004
Охотный ряд,Сокольническая линия,действует,Центральный административный округ,Тверской район,10,58702005
Новокосино,Калининская линия,действует,Восточный административный округ,район Новокосино,129,58702006
Курская,Кольцевая линия,действует,Центральный административный округ,Басманный район,79,58702007
Лухмановская,Некрасовская линия,действует,Восточный административный округ,район Косино-Ухтомский,228,58702008
Достоевская,Люблинско-Дмитровская линия,действует,Центральный административный округ,Тверской район,163,58702009
Улица Новаторов,Большая кольцевая линия,строится,Западный административный округ,район Проспект Вернадского,248,58702010
Международная,Филёвская линия,действует,Центральный административный округ,Пресненский район,73,58702011
Борисово,Люблинско-Дмитровская линия,действует,Южный административный округ,район Зябликово,176,58702012
Выставочный центр,Московская монорельсовая транспортная система,действует,Северо-Восточный административный округ,Останкинский район,188,58702013
Беговая,Таганско-Краснопресненская линия,действует,Центральный административный округ,Пресненский район,116,58702014
Терехово,Большая кольцевая линия,строится,Северо-Западный административный округ,район Хорошёво-Мнёвники,243,58702015
Третьяковская,Солнцевская линия,строится,Центральный административный округ,район Замоскворечье,222,58702016
Савёловская,Серпуховско-Тимирязевская линия,действует,Северо-Восточный административный округ,Бутырский район,144,58702017
Волоколамская,Арбатско-Покровская линия,действует,Северо-Западный административный округ,район Митино,59,58702018
Парк Победы,Солнцевская линия,действует,Западный административный округ,район Дорогомилово,218,58702019
Чертановская,Серпуховско-Тимирязевская линия,действует,Южный административный округ,район Чертаново Северное,156,58702020
Парк Победы,Арбатско-Покровская линия,действует,Западный административный округ,район Дорогомилово,52,58702021
Филёвский парк,Филёвская линия,действует,Западный административный округ,район Фили-Давыдково,63,58702022
Фрунзенская,Сокольническая линия,действует,Центральный административный округ,район Хамовники,14,58702023
Кузнецкий мост,Таганско-Краснопресненская линия,действует,Центральный административный округ,Мещанский район,120,58702024
Лубянка,Сокольническая линия,действует,Центральный административный округ,Тверской район,9,58702025
Улица Сергея Эйзенштейна,Московская монорельсовая транспортная система,действует,Северо-Восточный административный округ,Останкинский район,187,58702026
Водный стадион,Замоскворецкая линия,действует,Северный административный округ,Головинский район,38,58702027
Улица 1905 года,Таганско-Краснопресненская линия,действует,Центральный административный округ,Пресненский район,117,58702028
Ломоносовский проспект,Солнцевская линия,действует,Западный административный округ,район Раменки,224,58702029
Марксистская,Калининская линия,действует,Центральный административный округ,Таганский район,135,58702030
Боровское шоссе,Солнцевская линия,действует,Западный административный округ,район Ново-Переделкино,267,58702031
Партизанская,Арбатско-Покровская линия,действует,Восточный административный округ,район Измайлово,43,58702032
Улица академика Янгеля,Серпуховско-Тимирязевская линия,действует,Южный административный округ,район Чертаново Южное,159,58702033
Краснопресненская,Кольцевая линия,действует,Центральный административный округ,Пресненский район,84,58702034
Авиамоторная,Некрасовская линия,действует,Юго-Восточный административный округ,район Лефортово,230,58702035
Чкаловская,Люблинско-Дмитровская линия,действует,Центральный административный округ,Басманный район,166,58702036
Тульская,Серпуховско-Тимирязевская линия,действует,Южный административный округ,Даниловский район,151,58702037
Лермонтовский проспект,Таганско-Краснопресненская линия,действует,Юго-Восточный административный округ,район Выхино-Жулебино,204,58702038
Спартак,Таганско-Краснопресненская линия,действует,Северо-Западный административный округ,район Покровское-Стрешнево,203,58702039
Арбатская,Филёвская линия,действует,Центральный административный округ,район Арбат,70,58702040
Аннино,Серпуховско-Тимирязевская линия,действует,Южный административный округ,район Чертаново Южное,160,58702041
Севастопольская,Серпуховско-Тимирязевская линия,действует,Юго-Западный административный округ,район Зюзино,155,58702042
Профсоюзная,Калужско-Рижская линия,действует,Юго-Западный административный округ,Академический район,102,58702043
Арбатская,Арбатско-Покровская линия,действует,Центральный административный округ,район Арбат,49,58702044
Улица Горчакова,Бутовская линия Лёгкого метро,действует,Юго-Западный административный округ,район Южное Бутово,185,58702045
Мякинино,Арбатско-Покровская линия,действует,Северо-Западный административный округ,район Строгино,58,58702046
Октябрьская,Калужско-Рижская линия,действует,Центральный административный округ,район Якиманка,98,58702047
Пионерская,Филёвская линия,действует,Западный административный округ,район Фили-Давыдково,62,58702048
Площадь Ильича,Калининская линия,действует,Центральный административный округ,Таганский район,134,58702049
Рассказовка,Солнцевская линия,действует,Новомосковский административный округ,поселение Внуковское,269,58702050
Нагатинский затон,Большая кольцевая линия,строится,Южный административный округ,район Нагатинский Затон,253,58702051
Измайловская,Арбатско-Покровская линия,действует,Восточный административный округ,район Измайлово,42,58702052
Косино,Некрасовская линия,действует,Юго-Восточный административный округ,район Выхино-Жулебино,226,58702053
Битцевский парк,Бутовская линия Лёгкого метро,действует,Юго-Западный административный округ,район Ясенево,215,58702054
Сокол,Замоскворецкая линия,действует,Северный административный округ,район Сокол,36,58702055
Ржевская,Большая кольцевая линия,строится,Центральный административный округ,Мещанский район,261,58702056
Сокольники,Большая кольцевая линия,строится,Восточный административный округ,район Сокольники,260,58702057
Смоленская,Филёвская линия,действует,Центральный административный округ,район Арбат,69,58702058
Каховская,Каховская линия,действует,Юго-Западный административный округ,район Зюзино,181,58702059
Парк культуры,Сокольническая линия,действует,Центральный административный округ,район Хамовники,13,58702060
Мичуринский проспект,Солнцевская линия,действует,Западный административный округ,район Раменки,263,58702061
Котельники,Таганско-Краснопресненская линия,действует,Юго-Восточный административный округ,район Выхино-Жулебино,206,58702062
Библиотека имени Ленина,Сокольническая линия,действует,Центральный административный округ,район Арбат,11,58702063
Некрасовка,Некрасовская линия,действует,Юго-Восточный административный округ,район Некрасовка,229,58702064
Волгоградский проспект,Таганско-Краснопресненская линия,действует,Юго-Восточный административный округ,Южнопортовый район,124,58702065
Трубная,Люблинско-Дмитровская линия,действует,Центральный административный округ,Мещанский район,164,58702066
Динамо,Замоскворецкая линия,действует,Северный административный округ,район Аэропорт,34,58702067
Алексеевская,Калужско-Рижская линия,действует,Северо-Восточный административный округ,Алексеевский район,91,58702068
Улица академика Королёва,Московская монорельсовая транспортная система,действует,Северо-Восточный административный округ,Останкинский район,189,58702070
Планерная,Таганско-Краснопресненская линия,действует,Северо-Западный административный округ,район Северное Тушино,110,58702071
Спортивная,Сокольническая линия,действует,Центральный административный округ,район Хамовники,15,58702072
Аминьевское шоссе,Большая кольцевая линия,строится,Западный административный округ,район Кунцево,245,58702073
Суворовская,Кольцевая линия,строится,Центральный административный округ,Мещанский район,201,58702074
Таганская,Таганско-Краснопресненская линия,действует,Центральный административный округ,Таганский район,122,58702075
Киевская,Арбатско-Покровская линия,действует,Западный административный округ,район Дорогомилово,51,58702076
Театральная,Замоскворецкая линия,действует,Центральный административный округ,Тверской район,30,58702077
Сокольники,Сокольническая линия,действует,Восточный административный округ,район Сокольники,4,58702078
Деловой центр,Солнцевская линия,действует,Центральный административный округ,Пресненский район,217,58702079
Бульвар Дмитрия Донского,Серпуховско-Тимирязевская линия,действует,Юго-Западный административный округ,район Северное Бутово,161,58702080
Шипиловская,Люблинско-Дмитровская линия,действует,Южный административный округ,район Зябликово,177,58702081
Белорусская,Кольцевая линия,действует,Центральный административный округ,Тверской район,83,58702083
Полянка,Серпуховско-Тимирязевская линия,действует,Центральный административный округ,район Якиманка,149,58702084
Крылатское,Арбатско-Покровская линия,действует,Западный административный округ,район Крылатское,56,58702085
Сходненская,Таганско-Краснопресненская линия,действует,Северо-Западный административный округ,район Южное Тушино,111,58702086
Площадь Революции,Арбатско-Покровская линия,действует,Центральный административный округ,Тверской район,48,58702087
Юго-Западная,Сокольническая линия,действует,Западный административный округ,район Тропарёво-Никулино,19,58702088
Шоссе Энтузиастов,Калининская линия,действует,Восточный административный округ,район Перово,132,58702089
Китай-город,Калужско-Рижская линия,действует,Центральный административный округ,Тверской район,96,58702090
Щукинская,Таганско-Краснопресненская линия,действует,Северо-Западный административный округ,район Щукино,113,58702091
Лесопарковая,Бутовская линия Лёгкого метро,действует,Юго-Западный административный округ,район Северное Бутово,216,58702092
Новогиреево,Калининская линия,действует,Восточный административный округ,район Новогиреево,130,58702093
Курская,Арбатско-Покровская линия,действует,Центральный административный округ,Басманный район,47,58702094
Лефортово,Большая кольцевая линия,действует,Юго-Восточный административный округ,район Лефортово,258,58702095
Авиамоторная,Большая кольцевая линия,действует,Юго-Восточный административный округ,район Лефортово,257,58702097
Минская,Солнцевская линия,действует,Западный административный округ,район Дорогомилово,223,58702098
Студенческая,Филёвская линия,действует,Западный административный округ,район Дорогомилово,67,58702099
Пражская,Серпуховско-Тимирязевская линия,действует,Южный административный округ,район Чертаново Центральное,158,58702100
Парк культуры,Кольцевая линия,действует,Центральный административный округ,район Хамовники,74,58702101
Аэропорт,Замоскворецкая линия,действует,Северный административный округ,район Аэропорт,35,58702102
Проспект Мира,Кольцевая линия,действует,Центральный административный округ,Мещанский район,81,58702103
Третьяковская,Калужско-Рижская линия,действует,Центральный административный округ,район Замоскворечье,97,58702104
Марьина роща,Люблинско-Дмитровская линия,действует,Северо-Восточный административный округ,район Марьина Роща,162,58702105
Китай-город,Таганско-Краснопресненская линия,действует,Центральный административный округ,Тверской район,121,58702106
Авиамоторная,Калининская линия,действует,Юго-Восточный административный округ,район Лефортово,133,58702107
Нахимовский проспект,Серпуховско-Тимирязевская линия,действует,Юго-Западный административный округ,район Зюзино,154,58702108
Алма-Атинская,Замоскворецкая линия,действует,Южный административный округ,район Братеево,196,58702109
Цветной бульвар,Серпуховско-Тимирязевская линия,действует,Центральный административный округ,Тверской район,146,58702110
Окружная,Люблинско-Дмитровская линия,действует,Северный административный округ,Тимирязевский район,210,58702111
Добрынинская,Кольцевая линия,действует,Центральный административный округ,район Замоскворечье,76,58702112
Технопарк,Замоскворецкая линия,действует,Южный административный округ,район Нагатино-Садовники,197,58702113
Серпуховская,Серпуховско-Тимирязевская линия,действует,Центральный административный округ,район Замоскворечье,150,58702114
Каширская,Замоскворецкая линия,действует,Южный административный округ,район Нагатино-Садовники,25,58702115
Жулебино,Таганско-Краснопресненская линия,действует,Юго-Восточный административный округ,район Выхино-Жулебино,205,58702116
Селигерская,Люблинско-Дмитровская линия,действует,Северный административный округ,Бескудниковский район,212,58702117
Юго-Восточная,Некрасовская линия,действует,Юго-Восточный административный округ,район Выхино-Жулебино,234,58702118
Солнцево,Солнцевская линия,действует,Западный административный округ,район Солнцево,266,58702119
Пятницкое шоссе,Арбатско-Покровская линия,действует,Северо-Западный административный округ,район Митино,200,58702120
Улица Скобелевская,Бутовская линия Лёгкого метро,действует,Юго-Западный административный округ,район Южное Бутово,183,58702121
Воробьёвы горы,Сокольническая линия,действует,Западный административный округ,район Раменки,16,58702122
Мичуринский проспект,Большая кольцевая линия,строится,Западный административный округ,район Раменки,246,58702123
Верхние Лихоборы,Люблинско-Дмитровская линия,действует,Северный административный округ,Бескудниковский район,211,58702124
Строгино,Арбатско-Покровская линия,действует,Северо-Западный административный округ,район Строгино,57,58702125
Отрадное,Серпуховско-Тимирязевская линия,действует,Северо-Восточный административный округ,район Отрадное,139,58702126
Кузьминки,Таганско-Краснопресненская линия,действует,Юго-Восточный административный округ,район Кузьминки,126,58702127
Кунцевская,Филёвская линия,действует,Западный административный округ,район Кунцево,61,58702128
Окская,Некрасовская линия,действует,Юго-Восточный административный округ,Рязанский район,233,58702129
Митино,Арбатско-Покровская линия,действует,Северо-Западный административный округ,район Митино,60,58702130
Академическая,Калужско-Рижская линия,действует,Юго-Западный административный округ,Академический район,101,58702131
Пролетарская,Таганско-Краснопресненская линия,действует,Центральный административный округ,Таганский район,123,58702132
Деловой центр,Большая кольцевая линия,действует,Центральный административный округ,Пресненский район,240,58702134
Тургеневская,Калужско-Рижская линия,действует,Центральный административный округ,Красносельский район,95,58702135
Беляево,Калужско-Рижская линия,действует,Юго-Западный административный округ,район Коньково,105,58702136
Царицыно,Замоскворецкая линия,действует,Южный административный округ,район Царицыно,23,58702137
Волхонка,Солнцевская линия,строится,Центральный административный округ,район Хамовники,219,58702138
Киевская,Филёвская линия,действует,Западный административный округ,район Дорогомилово,68,58702139
Полежаевская,Таганско-Краснопресненская линия,действует,Северный административный округ,Хорошёвский район,115,58702140
Текстильщики,Большая кольцевая линия,строится,Юго-Восточный административный округ,район Текстильщики,255,58702141
Войковская,Замоскворецкая линия,действует,Северный административный округ,Войковский район,37,58702142
Саларьево,Сокольническая линия,действует,Западный административный округ,район Солнцево,195,58702143
Братиславская,Люблинско-Дмитровская линия,действует,Юго-Восточный административный округ,район Марьино,174,58702144
Южная,Серпуховско-Тимирязевская линия,действует,Южный административный округ,район Чертаново Центральное,157,58702145
Киевская,Кольцевая линия,действует,Западный административный округ,район Дорогомилово,85,58702146
Славянский бульвар,Арбатско-Покровская линия,действует,Западный административный округ,район Фили-Давыдково,53,58702147
Свиблово,Калужско-Рижская линия,действует,Северо-Восточный административный округ,район Свиблово,88,58702148
Университет,Сокольническая линия,действует,Западный административный округ,район Раменки,17,58702149
Улица Старокачаловская,Бутовская линия Лёгкого метро,действует,Юго-Западный административный округ,район Северное Бутово,182,58702150
Электрозаводская,Арбатско-Покровская линия,действует,Восточный административный округ,район Соколиная Гора,45,58702151
Ясенево,Калужско-Рижская линия,действует,Юго-Западный административный округ,район Ясенево,108,58702152
Румянцево,Сокольническая линия,действует,Новомосковский административный округ,поселение Московский,194,58702153
Тропарёво,Сокольническая линия,действует,Западный административный округ,район Тропарёво-Никулино,193,58702154
Таганская,Кольцевая линия,действует,Центральный административный округ,Таганский район,78,58702155
Каширская,Каховская линия,действует,Южный административный округ,район Москворечье-Сабурово,179,58702156
Орехово,Замоскворецкая линия,действует,Южный административный округ,район Орехово-Борисово Северное,22,58702157
Перово,Калининская линия,действует,Восточный административный округ,район Новогиреево,131,58702158
Телецентр,Московская монорельсовая транспортная система,действует,Северо-Восточный административный округ,Останкинский район,190,58702159
Дубровка,Люблинско-Дмитровская линия,действует,Юго-Восточный административный округ,Южнопортовый район,169,58702160
Каширская,Большая кольцевая линия,строится,Южный административный округ,район Москворечье-Сабурово,252,58702161
Семёновская,Арбатско-Покровская линия,действует,Восточный административный округ,район Соколиная Гора,44,58702162
Стахановская,Некрасовская линия,действует,Юго-Восточный административный округ,Рязанский район,232,58702163
Кунцевская,Арбатско-Покровская линия,действует,Западный административный округ,район Кунцево,54,58702164
Петровско-Разумовская,Люблинско-Дмитровская линия,действует,Северный административный округ,Тимирязевский район,209,58702165
Тёплый стан,Калужско-Рижская линия,действует,Юго-Западный административный округ,район Ясенево,107,58702166
Выхино,Таганско-Краснопресненская линия,действует,Юго-Восточный административный округ,район Выхино-Жулебино,128,58702168
Кантемировская,Замоскворецкая линия,действует,Южный административный округ,район Царицыно,24,58702170
Севастопольский проспект,Большая кольцевая линия,строится,Юго-Западный административный округ,район Зюзино,250,58702171
Молодёжная,Арбатско-Покровская линия,действует,Западный административный округ,район Кунцево,55,58702172
Владыкино,Серпуховско-Тимирязевская линия,действует,Северо-Восточный административный округ,район Отрадное,140,58702173
Крестьянская застава,Люблинско-Дмитровская линия,действует,Центральный административный округ,Таганский район,168,58702174
Хорошёвская,Большая кольцевая линия,действует,Северный административный округ,Хорошёвский район,238,58702175
Зябликово,Люблинско-Дмитровская линия,действует,Южный административный округ,район Зябликово,178,58702176
Петровско-Разумовская,Серпуховско-Тимирязевская линия,действует,Северный административный округ,Тимирязевский район,141,58702177
Красносельская,Сокольническая линия,действует,Центральный административный округ,Красносельский район,5,58702178
Улица Народного ополчения,Большая кольцевая линия,строится,Северо-Западный административный округ,район Хорошёво-Мнёвники,241,58702179
Чистые пруды,Сокольническая линия,действует,Центральный административный округ,Басманный район,8,58702180
Дмитровское шоссе,Люблинско-Дмитровская линия,строится,Северный административный округ,район Восточное Дегунино,214,58702181
Комсомольская,Кольцевая линия,действует,Центральный административный округ,Красносельский район,80,58702182
Сретенский бульвар,Люблинско-Дмитровская линия,действует,Центральный административный округ,Красносельский район,165,58702183
Проспект Вернадского,Большая кольцевая линия,строится,Западный административный округ,район Раменки,247,58702184
Боровицкая,Серпуховско-Тимирязевская линия,действует,Центральный административный округ,район Арбат,148,58702185
Бибирево,Серпуховско-Тимирязевская линия,действует,Северо-Восточный административный округ,район Бибирево,138,58702186
Речной вокзал,Замоскворецкая линия,действует,Северный административный округ,район Левобережный,39,58702187
Люблино,Люблинско-Дмитровская линия,действует,Юго-Восточный административный округ,район Люблино,173,58702188
Бутырская,Люблинско-Дмитровская линия,действует,Северо-Восточный административный округ,Бутырский район,207,58702189
Октябрьское поле,Таганско-Краснопресненская линия,действует,Северо-Западный административный округ,район Щукино,114,58702190
Новокузнецкая,Замоскворецкая линия,действует,Центральный административный округ,район Замоскворечье,29,58702191
Кутузовская,Филёвская линия,действует,Западный административный округ,район Дорогомилово,66,58702192
Тушинская,Таганско-Краснопресненская линия,действует,Северо-Западный административный округ,район Покровское-Стрешнево,112,58702194
Коломенская,Замоскворецкая линия,действует,Южный административный округ,район Нагатино-Садовники,26,58702195
Октябрьская,Кольцевая линия,действует,Центральный административный округ,район Якиманка,75,58702196
Проспект Вернадского,Сокольническая линия,действует,Западный административный округ,район Проспект Вернадского,18,58702197
Нагорная,Серпуховско-Тимирязевская линия,действует,Южный административный округ,Нагорный район,153,58702198
Выставочная,Филёвская линия,действует,Центральный административный округ,Пресненский район,72,58702199
Бунинская аллея,Бутовская линия Лёгкого метро,действует,Юго-Западный административный округ,район Южное Бутово,186,58702200
Рижская,Калужско-Рижская линия,действует,Центральный административный округ,Мещанский район,92,58702201
Новоясеневская,Калужско-Рижская линия,действует,Юго-Западный административный округ,район Ясенево,109,58702203
Бауманская,Арбатско-Покровская линия,действует,Центральный административный округ,Басманный район,46,58702204
Бульвар Рокоссовского,Сокольническая линия,действует,Восточный административный округ,район Богородское,1,58702205
Черкизовская,Сокольническая линия,действует,Восточный административный округ,район Преображенское,2,58702206
Коньково,Калужско-Рижская линия,действует,Юго-Западный административный округ,район Тёплый Стан,106,58702207
Менделеевская,Серпуховско-Тимирязевская линия,действует,Центральный административный округ,Тверской район,145,58702208
улица Дмитриевского,Некрасовская линия,действует,Восточный административный округ,район Косино-Ухтомский,227,58702209
Электрозаводская,Большая кольцевая линия,действует,Восточный административный округ,район Соколиная Гора,259,58702210
Раменки,Солнцевская линия,действует,Западный административный округ,район Раменки,225,58702211
Смоленская,Арбатско-Покровская линия,действует,Центральный административный округ,район Арбат,50,58702212
Баррикадная,Таганско-Краснопресненская линия,действует,Центральный административный округ,Пресненский район,118,58702213
Багратионовская,Филёвская линия,действует,Западный административный округ,район Филёвский Парк,64,58702214
Бабушкинская,Калужско-Рижская линия,действует,Северо-Восточный административный округ,Бабушкинский район,87,58702215
Кропоткинская,Сокольническая линия,действует,Центральный административный округ,район Хамовники,12,58702216
Проспект Мира,Калужско-Рижская линия,действует,Центральный административный округ,Мещанский район,93,58702217
Сухаревская,Калужско-Рижская линия,действует,Центральный административный округ,Красносельский район,94,58702218
Тимирязевская,Московская монорельсовая транспортная система,действует,Северо-Восточный административный округ,Бутырский район,192,58702219
Красные ворота,Сокольническая линия,действует,Центральный административный округ,Красносельский район,7,58702220
Печатники,Люблинско-Дмитровская линия,действует,Юго-Восточный административный округ,район Печатники,171,58702221
Шереметьевская,Большая кольцевая линия,строится,Северо-Восточный административный округ,район Марьина Роща,262,58702222
Рязанский проспект,Таганско-Краснопресненская линия,действует,Юго-Восточный административный округ,Рязанский район,127,58702223
Римская,Люблинско-Дмитровская линия,действует,Центральный административный округ,Таганский район,167,58702224
Александровский сад,Филёвская линия,действует,Центральный административный округ,Тверской район,71,58702225
Ленинский проспект,Калужско-Рижская линия,действует,Южный административный округ,Донской район,100,58702226
Чеховская,Серпуховско-Тимирязевская линия,действует,Центральный административный округ,Тверской район,147,58702227
Печатники,Большая кольцевая линия,строится,Юго-Восточный административный округ,район Печатники,254,58702228
Щёлковская,Арбатско-Покровская линия,действует,Восточный административный округ,район Гольяново,40,58702229
Ховрино,Замоскворецкая линия,действует,Северный административный округ,район Ховрино,199,58702230
Шелепиха,Московское центральное кольцо,действует,Центральный административный округ,Пресненский район,284,277904735
Площадь Гагарина,Московское центральное кольцо,действует,Юго-Западный административный округ,Гагаринский район,288,277904736
Лихоборы,Московское центральное кольцо,действует,Северный административный округ,район Коптево,280,277904737
Автозаводская,Московское центральное кольцо,действует,Южный административный округ,Даниловский район,292,277904738
Шоссе Энтузиастов,Московское центральное кольцо,действует,Восточный административный округ,район Соколиная Гора,271,277904739
Хорошёво,Московское центральное кольцо,действует,Северный административный округ,Хорошёвский район,283,277904740
Соколиная Гора,Московское центральное кольцо,действует,Восточный административный округ,район Соколиная Гора,296,277904741
Локомотив,Московское центральное кольцо,действует,Восточный административный округ,район Преображенское,273,277904742
Кутузовская,Московское центральное кольцо,действует,Западный административный округ,район Дорогомилово,286,277904743
Балтийская,Московское центральное кольцо,действует,Северный административный округ,Войковский район,281,277904744
Владыкино,Московское центральное кольцо,действует,Северо-Восточный административный округ,район Марфино,278,277904745
Угрешская,Московское центральное кольцо,действует,Юго-Восточный административный округ,район Печатники,293,277904746
Ботанический сад,Московское центральное кольцо,действует,Северо-Восточный административный округ,район Свиблово,277,277904747
Андроновка,Московское центральное кольцо,действует,Восточный административный округ,район Перово,270,277904748
Дубровка,Московское центральное кольцо,действует,Юго-Восточный административный округ,Южнопортовый район,297,277904749
Измайлово,Московское центральное кольцо,действует,Восточный административный округ,район Соколиная Гора,272,277904750
Лужники,Московское центральное кольцо,действует,Центральный административный округ,район Хамовники,287,277904751
Нижегородская,Московское центральное кольцо,действует,Юго-Восточный административный округ,Нижегородский район,295,277904752
Новохохловская,Московское центральное кольцо,действует,Юго-Восточный административный округ,Нижегородский район,294,277904753
ЗИЛ,Московское центральное кольцо,действует,Южный административный округ,Даниловский район,291,277904754
Верхние Котлы,Московское центральное кольцо,действует,Южный административный округ,Нагорный район,290,277904755
Белокаменная,Московское центральное кольцо,действует,Восточный административный округ,район Богородское,275,277904756
Ростокино,Московское центральное кольцо,действует,Северо-Восточный административный округ,район Ростокино,276,277904757
Деловой центр,Московское центральное кольцо,действует,Центральный административный округ,Пресненский район,285,277904758
Бульвар Рокоссовского,Московское центральное кольцо,действует,Восточный административный округ,район Богородское,274,277904759
Стрешнево,Московское центральное кольцо,действует,Северный административный округ,район Сокол,282,277904760
Крымская,Московское центральное кольцо,действует,Южный административный округ,Донской район,289,277904761
Окружная,Московское центральное кольцо,действует,Северный административный округ,Тимирязевский район,279,277904762
Петровский парк,Большая кольцевая линия,действует,Северный административный округ,район Аэропорт,298,696737361
ЦСКА,Большая кольцевая линия,действует,Северный административный округ,Хорошёвский район,299,696742167
Шелепиха,Большая кольцевая линия,действует,Центральный административный округ,Пресненский район,300,696749112
Озерная,Солнцевская линия,действует,Западный административный округ,район Очаково-Матвеевское,301,886123736
Говорово,Солнцевская линия,действует,Западный административный округ,район Солнцево,302,886123738
Беломорская,Замоскворецкая линия,действует,Северный административный округ,район Левобережный,303,904474367
Зорге,Московское центральное кольцо,действует,Северо-Западный административный округ,район Хорошёво-Мнёвники,304,905932318
Панфиловская,Московское центральное кольцо,действует,Северо-Западный административный округ,район Щукино,305,905932372
Коптево,Московское центральное кольцо,действует,Северный административный округ,район Коптево,306,905932373
Савеловская,Большая кольцевая линия,действует,Северный административный округ,Савёловский район,307,906044097
Филатов луг,Сокольническая линия,действует,Новомосковский административный округ,поселение Сосенское,308,930063626
Прокшино,Сокольническая линия,действует,Новомосковский административный округ,поселение Сосенское,309,930063627
Ольховая,Сокольническая линия,действует,Новомосковский административный округ,поселение Сосенское,310,930063628
Коммунарка,Сокольническая линия,действует,Новомосковский административный округ,поселение Сосенское,311,930063629
Стромынка,Большая кольцевая линия,строится,Восточный административный округ,район Сокольники,314,1045820891
Лефортово,Некрасовская линия,действует,Юго-Восточный административный округ,район Лефортово,315,1045820903
Зюзино,Большая кольцевая линия,строится,Юго-Западный административный округ,район Зюзино,312,1045820911
